hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
428018,0.5159079092,45,2,2,1,1,5,220,3,3,3,2
428026,0.2992597879,18,1,1,1,2,3,220,4,3,3,4
428029,0.7324130696,50,2,4,2,1,5,210,2,1,1,1
428032,0.6866824991,9,2,1,5,2,1,230,3,1,1,3
428035,2.4175304802,70,1,1,1,1,6,210,2,2,2,1
428037,0.4581302318,46,2,2,1,1,5,220,4,1,1,2
428038,2.9594555241,37,1,1,1,1,4,210,2,2,2,2
428046,1.0820486662,82,1,2,4,2,6,210,2,0,0,1
428047,0.7498917523,66,1,2,4,1,6,210,2,2,2,1
428056,0.5462541517,76,1,2,4,1,6,210,2,1,1,1
428061,0.3282909017,63,2,1,4,1,5,10,1,1,1,1
428063,1.1975743567,58,2,2,1,1,5,220,4,2,2,1
428068,1.1418608788,61,1,4,1,1,5,210,2,2,2,1
428072,0.6335739578,62,2,4,1,1,5,10,1,1,1,1
428076,1.3275403615,62,1,2,4,1,5,220,3,0,0,2
428077,0.3661913168,78,2,3,4,2,6,10,1,0,0,1
428078,1.091741011,60,2,2,2,1,5,210,2,2,2,2
428079,0.3361065407,64,1,2,4,1,5,210,2,2,2,1
428081,0.61872981,91,2,2,4,2,6,210,2,1,1,2
428082,0.5640171729,74,1,2,4,1,6,210,2,1,1,2
428083,0.3286946354,80,1,3,4,1,6,30,3,2,2,1
428085,0.6453837048,80,1,3,4,1,6,10,1,1,1,1
428087,0.5528337941,49,1,2,1,1,5,10,1,0,0,1
428091,1.9890306683,59,1,1,1,1,5,10,1,1,1,1
428093,2.1041009494,60,1,2,1,1,5,10,1,1,1,1
428106,0.3851381307,15,2,1,2,2,2,220,4,1,1,4
428113,0.5249303204,10,2,1,5,2,1,220,3,1,1,3
428116,0.4787316563,68,1,2,1,1,6,210,2,2,2,1
428122,0.4445392596,22,2,1,3,1,3,220,4,3,3,3
428124,1.372017427,19,1,1,1,2,3,220,4,2,2,4
428125,0.7804763534,46,2,2,1,1,5,220,5,3,3,2
428131,1.2053311394,79,2,3,4,2,6,10,1,0,0,1
428137,0.3330102999,79,1,3,4,1,6,10,1,1,1,1
428138,0.4134470358,74,1,2,4,1,6,10,1,1,1,1
428139,0.4045419533,62,2,4,1,1,5,10,1,1,1,1
428145,0.7361423461,46,1,2,1,1,5,220,4,2,2,1
428151,1.1082203401,14,1,1,5,2,1,220,4,2,2,3
428154,0.4118900801,14,1,1,5,2,1,220,4,1,1,3
428156,0.8313325229,57,2,4,1,1,5,210,2,1,1,2
428158,0.678555952,19,1,1,1,1,3,30,6,2,2,4
428159,1.3824837194,12,1,1,5,2,1,220,6,2,2,5
428166,0.8647118122,56,1,2,1,1,5,220,3,1,1,2
428167,4.6799877813,37,2,2,1,1,4,220,4,1,1,2
428168,1.8575023287,65,1,2,1,1,6,210,2,3,3,1
428171,0.5570141478,56,1,2,1,1,5,220,4,2,2,1
428172,0.3752482771,74,2,2,4,1,6,210,2,1,1,2
428173,0.6777554959,21,2,1,3,1,3,220,3,3,3,3
