year;age_m;age_w;count
2007;28 ;66 ;0
2007;28 ;67 ;1
2007;28 ;68 ;0
2007;28 ;69 ;1
2007;28 ;70 ;0
2007;28 ;71 ;0
2007;28 ;72 ;0
2007;28 ;73 ;0
2007;28 ;74 ;0
2007;28 ;75 ;0
2007;28 ;76 ;0
2007;28 ;77 ;0
2007;28 ;78 ;0
2007;28 ;79 ;0
2007;28 ;80 ;0
2007;28 ;81 ;0
2007;28 ;82 ;0
2007;28 ;83 ;0
2007;28 ;84 ;0
2007;28 ;85 ;0
2007;28 ;86 ;0
2007;28 ;87 ;0
2007;28 ;88 ;0
2007;28 ;89 ;0
2007;28 ;90 ;0
2007;28 ;91 ;0
2007;28 ;92 ;0
2007;28 ;93 ;0
2007;28 ;94 ;0
2007;28 ;95 ;0
2007;28 ;99 ;0
2007;28 ;100;0
2007;29 ;18 ;6
2007;29 ;19 ;11
2007;29 ;20 ;34
2007;29 ;21 ;40
2007;29 ;22 ;59
2007;29 ;23 ;77
2007;29 ;24 ;101
2007;29 ;25 ;149
2007;29 ;26 ;192
2007;29 ;27 ;253
2007;29 ;28 ;278
2007;29 ;29 ;266
2007;29 ;30 ;185
2007;29 ;31 ;103
2007;29 ;32 ;69
2007;29 ;33 ;61
2007;29 ;34 ;53
2007;29 ;35 ;18
2007;29 ;36 ;25
2007;29 ;37 ;14
2007;29 ;38 ;8
2007;29 ;39 ;10
2007;29 ;40 ;5
2007;29 ;41 ;5
2007;29 ;42 ;7
2007;29 ;43 ;4
2007;29 ;44 ;3
2007;29 ;45 ;5
2007;29 ;46 ;2
2007;29 ;47 ;1
2007;29 ;48 ;3
2007;29 ;49 ;4
2007;29 ;50 ;4
2007;29 ;51 ;1
2007;29 ;52 ;2
2007;29 ;53 ;1
2007;29 ;54 ;1
2007;29 ;55 ;2
2007;29 ;56 ;1
2007;29 ;57 ;0
2007;29 ;58 ;2
2007;29 ;59 ;2
2007;29 ;60 ;0
2007;29 ;61 ;0
2007;29 ;62 ;1
2007;29 ;63 ;0
2007;29 ;64 ;0
2007;29 ;65 ;0
2007;29 ;66 ;0
2007;29 ;67 ;0
2007;29 ;68 ;0
2007;29 ;69 ;1
2007;29 ;70 ;0
2007;29 ;71 ;0
2007;29 ;72 ;0
2007;29 ;73 ;0
2007;29 ;74 ;0
2007;29 ;75 ;0
2007;29 ;76 ;0
2007;29 ;77 ;0
2007;29 ;78 ;0
2007;29 ;79 ;0
2007;29 ;80 ;0
2007;29 ;81 ;0
2007;29 ;82 ;0
2007;29 ;83 ;0
2007;29 ;84 ;0
2007;29 ;85 ;0
2007;29 ;86 ;0
2007;29 ;87 ;0
2007;29 ;88 ;0
2007;29 ;89 ;0
2007;29 ;90 ;0
2007;29 ;91 ;0
2007;29 ;92 ;0
2007;29 ;93 ;0
2007;29 ;94 ;0
2007;29 ;95 ;0
2007;29 ;99 ;0
2007;29 ;100;0
2007;30 ;18 ;3
2007;30 ;19 ;12
2007;30 ;20 ;16
2007;30 ;21 ;24
2007;30 ;22 ;49
2007;30 ;23 ;69
2007;30 ;24 ;92
2007;30 ;25 ;139
2007;30 ;26 ;171
2007;30 ;27 ;250
2007;30 ;28 ;265
2007;30 ;29 ;310
2007;30 ;30 ;238
2007;30 ;31 ;188
2007;30 ;32 ;96
2007;30 ;33 ;60
