hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
400268,1.37950585045658,51,2,2,2,1,5,220,3,2,2,1
411498,1.40409893934303,62,2,2,1,1,5,210,2,2,2,2
506314,0.49702938782893,39,2,4,1,1,4,10,1,1,1,1
218268,0.91343854544771,49,1,2,1,1,5,220,4,1,1,1
319640,0.61670291115688,63,1,4,1,1,5,10,1,1,1,1
315810,0.69182365064728,77,2,3,4,2,6,10,1,0,0,1
226868,0.76609408104844,81,1,2,4,2,6,210,2,1,1,1
400285,0.86370237936909,61,1,2,1,1,5,210,2,2,2,1
508645,1.03739911930984,62,1,2,1,1,5,210,2,1,1,1
108736,1.3822530659002,45,2,1,1,2,5,210,2,1,1,1
517776,2.95247087310771,26,1,1,3,1,4,220,4,4,4,3
205842,0.29808598045945,79,2,3,4,2,6,10,1,0,0,1
208042,0.92339409653345,90,2,1,4,2,6,30,2,1,1,1
224977,1.14129758317965,52,1,4,1,1,5,220,3,3,3,2
409379,1.9679217191238,27,1,2,2,2,4,210,2,0,0,2
406593,1.47541860731848,49,1,4,1,1,5,210,2,2,2,1
213940,0.66275800124765,82,2,3,4,1,6,10,1,1,1,1
102991,1.15456240169329,55,1,1,1,1,5,210,2,1,1,1
421561,3.76939078792528,35,1,1,1,1,4,30,3,0,0,2
315818,1.42769597858963,15,1,1,3,2,2,220,4,2,2,4
208211,0.39328712816425,72,2,3,4,1,6,10,1,1,1,1
220224,1.24253279893157,42,2,2,1,2,4,220,4,0,0,2
416890,1.24560006014291,29,1,1,1,1,4,10,1,1,1,1
206678,1.43871944601935,19,2,1,1,2,3,220,5,1,1,3
324621,1.28384818404514,11,2,1,5,2,1,220,5,1,1,3
417811,0.95215735883554,31,2,4,1,2,4,230,2,1,1,2
520372,0.51100679755677,70,2,2,4,2,6,210,2,1,1,2
311424,1.72206557873667,9,1,1,5,2,1,220,4,1,1,3
215743,1.83402615725061,70,2,4,4,1,6,30,2,1,1,2
405151,0.53195284398312,31,2,1,2,2,4,230,2,0,0,1
301206,0.89712421624013,36,1,1,1,1,4,10,1,1,1,1
105174,0.8870781975493,6,1,1,5,2,1,220,4,2,2,4
202820,0.54795176172731,46,2,1,1,1,5,10,1,1,1,1
500305,1.99194356036071,75,2,3,4,2,6,230,2,0,0,1
414920,1.77508585111678,49,1,2,1,1,5,220,4,1,1,1
208468,0.8134581249539,10,2,1,5,2,1,220,4,2,2,4
328613,1.33706711115798,37,2,2,1,1,4,210,2,1,1,1
510006,3.44242847637868,11,1,1,5,2,1,230,3,0,0,3
213616,0.68606744041564,82,1,2,4,1,6,210,2,1,1,1
224009,0.56196921286311,72,2,3,1,1,6,10,1,1,1,1
400069,0.73595857728462,55,2,2,1,1,5,210,2,2,2,1
418977,1.35158151156594,20,2,2,1,1,3,30,4,2,2,4
224806,2.23693343295793,19,1,1,3,2,3,230,3,1,1,2
211356,1.21164575518749,55,2,2,2,1,5,210,2,2,2,2
407496,0.67656431197413,51,2,4,2,1,5,210,2,3,3,1
414391,2.14999321098347,44,1,1,1,1,5,220,3,0,0,1
315941,1.29908239667481,68,1,2,4,1,6,210,2,2,2,1
425378,3.37532040641582,15,1,1,1,2,2,220,6,3,3,5
302927,1.62005479845316,45,2,2,2,1,5,220,6,2,2,2
106124,0.49145948735008,75,2,3,4,2,6,10,1,0,0,1
416892,0.65703514729575,11,2,1,5,2,1,220,4,1,1,3
303147,2.18535939002854,64,2,2,4,1,5,210,2,1,1,2
403236,0.92474526578259,37,1,2,1,1,4,220,3,1,1,1
219090,1.0463511613968,43,1,2,1,1,4,220,4,1,1,1
206724,1.10456774310558,55,1,2,1,1,5,210,2,2,2,1
326958,0.66173141759895,66,2,2,4,2,6,210,2,1,1,2
515938,0.17908829934492,77,1,2,4,1,6,10,1,1,1,1
506363,0.90993608992037,59,1,4,1,1,5,210,2,1,1,1
424302,1.71176535491684,22,2,1,2,1,3,220,4,2,2,4
225395,0.45314247384365,66,2,1,4,1,6,10,1,1,1,1
305955,1.21339547879696,47,1,2,1,1,5,220,3,2,2,2
218131,2.22707583452472,60,1,2,1,1,5,220,3,1,1,2
309397,0.75608592006957,53,2,2,2,2,5,210,2,1,1,2
314535,3.82505265329518,28,2,1,1,1,4,210,2,0,0,1
225421,2.30091769461103,53,1,2,1,1,5,210,2,1,1,1
316607,0.66075913589421,69,1,4,4,1,6,10,1,0,0,1
217746,0.71786619223337,18,1,1,3,2,3,220,4,2,2,3
407102,2.10688895782699,53,1,2,1,1,5,220,3,1,1,1
427766,2.04536990024491,19,2,1,2,1,3,220,4,5,5,4
315271,1.74298092194211,12,2,1,5,2,1,220,6,1,1,5
212195,1.75630105751414,27,1,1,1,1,4,220,3,1,1,1
309414,0.91228574725078,15,2,1,3,2,2,230,3,0,0,2
324337,3.44873343559584,22,1,1,1,1,3,30,3,9,5,3
320126,3.82505265329518,25,1,1,1,2,4,220,7,1,1,3
204759,1.38316340086041,34,2,2,1,1,4,210,2,1,1,1
520118,1.19198479637163,61,2,2,4,1,5,210,2,2,2,2
304525,0.71719189234673,38,1,1,1,1,4,10,1,1,1,1
214605,1.94434974051038,41,2,4,1,1,4,230,3,1,1,1
507872,0.81271394765831,80,2,2,4,1,6,210,2,1,1,2
221736,2.6984717173118,12,1,1,5,2,1,220,3,1,1,3
428995,1.20898007098662,27,1,1,1,1,4,30,2,0,0,1
226106,0.55969921631207,66,2,2,4,1,6,210,2,2,2,2
213385,0.32769101864393,49,1,2,1,1,5,220,5,1,1,1
111769,1.98033357287257,24,1,1,1,1,4,30,2,0,0,2
211332,1.39816019066394,43,2,3,1,1,4,230,3,1,1,1
422331,1.29849160124048,50,1,2,1,1,5,210,2,2,2,1
518668,0.93851451959392,47,1,2,1,1,5,220,4,1,1,1
212089,2.02287593581685,32,1,2,1,1,4,220,4,1,1,1
216212,1.87970602099368,32,1,2,1,1,4,220,4,1,1,1
410316,0.90391645590756,42,2,2,1,1,4,220,4,1,1,2
322255,1.2176838565201,10,2,1,5,2,1,220,4,3,3,4
309011,0.95888533484558,67,2,2,4,1,6,210,2,1,1,1
511163,0.74206999264587,85,2,2,4,2,6,210,2,0,0,1
302842,1.03605944980126,34,1,2,1,1,4,220,4,3,3,1
416858,1.94542941801656,15,2,1,3,2,2,220,5,3,3,5
110482,1.07761531629761,90,1,2,1,1,6,210,2,0,0,1
513505,1.50132328714338,49,2,2,1,1,5,220,5,2,2,2
406260,0.82472537858383,18,1,1,3,2,3,220,4,2,2,3
402690,1.13665291272799,87,2,3,4,2,6,30,3,1,1,1
418254,1.30520478162697,33,2,2,1,1,4,220,3,1,1,2
503546,1.20302402922375,22,1,1,1,2,3,220,3,1,1,3
225945,1.03377245636883,16,1,1,3,2,2,230,4,2,2,3
426470,0.96045977889619,52,2,4,2,1,5,230,3,2,2,1
305430,0.62757639682444,30,2,1,1,1,4,10,1,0,0,1
229283,1.24505349878994,60,2,2,1,1,5,220,4,5,5,2
503142,0.97400917091026,18,1,1,3,2,3,220,4,3,3,4
205271,0.95522428411088,42,2,2,1,1,4,220,3,1,1,2
207474,0.9048399190973,61,2,4,1,2,5,210,2,1,1,2
107708,0.66900333548971,26,2,2,2,1,4,220,3,1,1,2
517776,2.95247087310771,26,1,1,3,1,4,220,4,4,4,3
221460,1.4897213068993,21,2,1,1,1,3,220,4,2,2,3
419140,2.16692776600547,32,2,1,1,2,4,30,7,2,2,6
216528,2.10130233033003,21,1,1,1,2,3,220,5,0,0,3
318186,0.61718011566623,78,2,4,1,2,6,10,1,0,0,1
206414,1.17877159985999,55,1,4,1,1,5,230,2,2,2,2
401824,0.57713018750061,60,1,1,1,1,5,10,1,2,2,1
209343,1.05191112274116,15,2,1,3,2,2,220,4,1,1,4
322770,1.60172779928693,85,2,3,4,2,6,230,2,0,0,2
206719,1.66327137383694,49,2,2,2,1,5,220,4,2,2,1
220972,2.10120998315101,28,2,1,1,2,4,230,2,1,1,2
319297,2.15831843243609,42,2,2,1,1,4,210,2,1,1,2
309381,2.19848617155056,32,1,2,2,1,4,220,3,1,1,1
215747,2.36312278746352,55,2,2,1,1,5,220,3,3,3,2
426601,0.91147300425627,60,1,4,1,1,5,230,2,3,3,1
407484,2.4563567740828,44,2,2,2,2,5,220,6,3,3,2
403208,1.04548456341725,70,1,4,4,1,6,10,1,1,1,1
205288,1.7859351413956,53,1,1,1,1,5,210,2,1,1,2
216903,2.00812416979925,41,1,2,2,1,4,210,2,1,1,1
402470,3.01744386366439,20,1,1,1,1,3,220,4,3,3,4
419740,2.67642954241405,32,2,2,2,2,4,220,3,0,0,2
411819,2.19266092793872,36,1,2,1,1,4,220,3,2,2,1
501781,0.97141890285079,49,2,2,1,1,5,220,4,2,2,1
225751,0.70136102579491,12,1,1,5,2,1,220,5,1,1,3
222606,1.43309971697955,36,2,2,1,1,4,220,3,1,1,1
110727,3.19377164692177,50,1,2,1,1,5,220,5,1,1,1
426859,0.76905334161783,41,2,4,1,1,4,220,4,2,2,2
310630,0.73628634680303,33,1,1,1,1,4,230,2,1,1,2
301254,0.86781437648939,63,2,2,1,1,5,210,2,2,2,1
229440,1.46913311480588,50,2,2,2,1,5,210,2,1,1,1
105174,0.8870781975493,6,1,1,5,2,1,220,4,2,2,4
415051,0.97148023213057,49,1,2,4,1,5,220,4,1,1,1
227507,0.80634794151839,44,2,2,1,1,5,220,4,1,1,2
419573,2.60271216247225,22,1,1,1,1,3,220,6,7,5,5
517144,0.98782305557036,72,1,2,4,1,6,210,2,1,1,1
214904,1.04153850546068,12,1,1,5,2,1,220,5,2,2,4
228852,0.908710598164,11,2,1,5,2,1,220,5,1,1,3
323265,0.33487737386447,41,1,2,1,1,4,220,4,0,0,2
415869,2.74978061445274,60,2,2,2,2,5,220,3,1,1,2
219885,0.82987564608268,41,2,4,1,1,4,10,1,1,1,1
227055,2.17656603085847,28,2,1,1,1,4,210,2,2,2,2
514013,2.19156434417899,56,1,2,1,1,5,220,3,2,2,2
112860,2.80732844309458,30,1,1,1,1,4,220,5,3,3,3
418776,1.34490484527381,18,1,1,1,2,3,220,4,3,3,4
307153,3.55514313865872,20,2,2,1,2,3,210,2,1,1,2
328603,1.04384213995795,60,1,2,1,1,5,210,2,1,1,1
420289,1.46870109871906,40,1,1,1,1,4,10,1,0,0,1
101849,0.46495599000717,67,2,1,4,2,6,10,1,0,0,1
229408,1.89855813752957,69,2,4,4,1,6,230,2,1,1,1
329414,3.34618849801903,26,1,1,1,1,4,220,5,2,2,3
415187,1.03239747438955,43,2,2,1,1,4,220,4,1,1,2
514810,0.98162795138517,39,2,1,1,1,4,10,1,1,1,1
227025,1.16871471592522,49,1,2,1,2,5,220,4,0,0,1
203034,2.79677242350523,60,1,4,1,1,5,220,4,1,1,1
423923,0.81563880114727,49,1,2,2,1,5,220,6,1,1,1
427982,0.56054199606704,52,1,2,1,1,5,220,3,3,3,1
105311,0.35007263220494,52,1,4,1,1,5,10,1,1,1,1
325246,0.9163942199294,36,2,1,1,1,4,220,3,2,2,2
224614,1.51683785577696,23,1,1,3,1,3,220,3,3,3,3
100581,1.00451635001511,15,1,1,1,2,2,220,5,1,1,5
311438,1.68348512559281,42,2,2,2,1,4,220,4,3,3,2
309271,1.18629020870353,19,1,1,1,1,3,220,4,2,2,4
423573,0.48768030075814,67,1,2,4,1,6,210,2,0,0,2
323792,2.90006412097847,49,2,2,1,1,5,220,3,2,2,2
205744,0.77712110428258,37,2,1,1,1,4,10,1,0,0,1
212121,1.22350286976642,24,1,1,1,1,4,220,4,2,2,3
220453,1.92707854810494,59,1,2,1,1,5,220,3,1,1,1
106515,3.36367190202241,26,1,1,1,1,4,220,3,2,2,3
520485,0.33962803995262,72,2,1,4,1,6,10,1,1,1,1
108038,0.73118840484809,57,1,1,1,1,5,10,1,1,1,1
209315,0.79799996578224,35,1,4,1,1,4,10,1,1,1,1
213258,2.933363692909,40,1,1,2,1,4,30,2,1,1,1
515949,0.55872683532743,44,2,2,1,1,5,210,2,2,2,2
314381,1.75759477250607,37,1,2,1,1,4,220,3,1,1,1
